release_date,title,main_director,soup
2005-10-05,The Squid and the Whale,noahbaumbach,childhoodmemori uniform independentfilm privat tryst jeffdaniels lauralinney jesseeisenberg noahbaumbach comedy drama
2009-10-19,A Single Man,tomford,gay basedonnovel suicid deathoflov teacherstudentrelationship griev 1960 colinfirth juliannemoore nicholashoult tomford drama romance
2014-08-01,Rurouni Kenshin: Kyoto Inferno,keishiohtomo,basedonmanga samuraiera meijiperiod takerusatoh yuaoi tatsuyafujiwara keishiohtomo action adventure drama
2015-05-14,Tale of Tales,matteogarrone, salmahayek vincentcassel tobyjones matteogarrone romance fantasy horror
2011-08-17,Conan the Barbarian,marcusnispel,witch sword magic slaveri princess remak reveng rescu sorcer tortur battl barbarian 3d swordandsorceri 杰森·莫玛 stephenlang rachelnichols marcusnispel adventure fantasy action
2013-07-26,Don Jon,josephgordon-levitt,pornographi sex sexaddict malefemalerelationship internetporn malemasturb masturb josephgordon-levitt scarlettjohansson juliannemoore josephgordon-levitt romance comedy drama
2005-07-29,The Skeleton Key,iainsoftley,nurs secret dream fight kidnap neworlean key plantat voodoo parti lawyer blood violenc mirror attic occult katehudson genarowlands petersarsgaard iainsoftley drama horror mystery thriller
2002-12-19,Antwone Fisher,denzelwashington,u.s.navi biographi derekluke malcolmdavidkelley coryhodges denzelwashington drama romance
2012-11-21,Rise of the Guardians,peterramsey,dream santaclau nightmar easterbunni toothfairi jackfrost sandman duringcreditssting chrispine alecbaldwin judelaw peterramsey fantasy animation family
1992-08-07,Unforgiven,clinteastwood,prostitut sheriff bounti regret rightandjustic reveng mutil onelastjob reput englishman clinteastwood genehackman morganfreeman clinteastwood western
1984-03-23,Racing with the Moon,richardbenjamin, seanpenn nicolascage elizabethmcgovern richardbenjamin drama romance
2008-09-24,The Class,laurentcantet,pari sociallydeprivedfamili literatur illegalimmigr immigr educ boredom classsocieti violenceinschool republican divers teacher school schoollif teachersandstud françoisbégaudeau franckkeïta esmeraldaouertani laurentcantet drama
2009-01-01,The Six Wives of Henry Lefay,howardmichaelgould,mexico sail funer wife daughter marriag death elishacuthbert timallen jennaelfman howardmichaelgould comedy
1985-08-23,Teen Wolf,roddaniel,trainer train supernaturalpow highschool werewolf teenag michaelj.fox jameshampton susanursitti roddaniel comedy fantasy romance
2003-11-21,Gothika,mathieukassovitz,amnesia mentalinstitut patient trust falseaccus medic gothic mentalil halleberry robertdowneyjr. charless.dutton mathieukassovitz horror thriller
2008-03-19,Dragon Hunters,guillaumeivernel,destroy futur worldsupremaci bestfriend dragon doomsday vincentlindon patricktimsit philippenahon guillaumeivernel animation family
2002-01-11,Secretary,stevenshainberg,suicid clerk fetish sadomasoch lawyer hospit secretari masturb typewrit kinki cut pantyhos bdsm workplacerom jamesspader maggiegyllenhaal jeremydavies stevenshainberg comedy drama romance
2003-05-09,The Animatrix,koujimorimoto,cyberpunk alternater matrix keanureeves carrie-annemoss claytonwatson koujimorimoto animation sciencefiction
1985-07-19,Legend,ridleyscott,gump tomcruise miasara timcurry ridleyscott adventure fantasy
2015-04-18,Tumbledown,seanmewshaw,widow biographi writer folksing rebeccahall jasonsudeikis diannaagron seanmewshaw music romance comedy
1993-12-10,Wayne's World 2,stephensurjik,loveofone'slif tvshow talkshow kiss rock concert musictvprogramm mikemyers danacarvey christopherwalken stephensurjik music comedy
2003-11-26,Bad Santa,terryzwigoff,holiday elv christmasparti departmentstor safe drink littlepeopl christmasev christma billybobthornton tonycox brettkelly terryzwigoff drama comedy crime
1997-03-07,Private Parts,bettythomas,sexual becominganadult erotic radio jew childhoodmemori privatelif erect youth womandirector howardstern marymccormack kellybishop bettythomas comedy drama
2014-04-16,Serial (Bad) Weddings,philippedechauveron,franc marriag racism christianclavier chantallauby aryabittan philippedechauveron comedy
2014-07-29,Starry Eyes,kevinkolsch,desper elit fame hollywood initi actress mumblegor alexessoe amandafuller noahsegan kevinkolsch horror
2011-05-06,Hobo with a Shotgun,jasoneisener,femalenud prostitut shotgun pimp underwear dystopia vigilant blood massacr brutal violenc spittingblood whitesuit genocid bodymutil extremesad childkil sawedoffshotgun flamethrow attemptedrobberi intestin disembowel attemptedrap shotrepeatedli rutgerhauer gregorysmith robbwells jasoneisener action comedy thriller
2003-03-11,Inspector Gadget 2,alexzamm,cyborg gadget sequel basedoncartoon frenchstewart elainehendrix tonymartin alexzamm action adventure comedy family
1962-06-19,Hatari!,howardhawks,africa giraff eleph safari chase danger johnwayne hardykrüger elsamartinelli howardhawks action adventure comedy
2009-10-16,Black Dynamite,scottsanders,blackpeopl blaxploit spoof duringcreditssting michaeljaiwhite arseniohall tommydavidson scottsanders action comedy
1997-10-17,The Devil's Advocate,taylorhackford,"childabus southernusa obsess subway nuditi bibl seduct hallucin ambit devil'sson marriagecrisi pactwiththedevil crookedlawy evilspirit satan religion lust courtroom temptat lawfirm manhattan,newyorkc sevendeadlysin ethic gainesvilleflorida keanureeves alpacino charlizetheron taylorhackford drama horror mystery thriller"
2014-11-19,Eden,miahansen-løve,pari franc dj womandirector félixdegivry bradycorbet gretagerwig miahansen-løve drama music
2010-02-26,The Crazies,breckeisner,terror biologicalweapon cover-up splatter duringcreditssting viru timothyolyphant radhamitchell joeanderson breckeisner mystery horror action
2016-07-21,Skiptrace,rennyharlin,detect hongkong chines american crimin gambler jackiechan johnnyknoxville fanbingbing rennyharlin action comedy
2015-01-09,The Scorpion King: Quest for Power,mikeelliott,magic fantasi steampunk dragon victorwebster ellenhollman barrybostwick mikeelliott action fantasy adventure
2001-06-02,Atlantis: The Lost Empire,garytrousdale,sea atlanti anim underwat seamonst michaelj.fox coreyburton claudiachristian garytrousdale animation family adventure sciencefiction
2014-06-05,22 Jump Street,phillord,highschool undercovercop buddycomedi aftercreditssting duringcreditssting jonahhill channingtatum davefranco phillord crime comedy action
2008-04-23,Baby Mama,michaelmccullers,pregnancyandbirth surrogatemoth tinafey amypoehler daxshepard michaelmccullers comedy
2001-05-11,A Knight's Tale,brianhelgeland,poetri knight tournament duel tortur writer impostor church game joust aftercreditssting heathledger rufussewell shannynsossamon brianhelgeland adventure drama romance action
2008-12-03,A Matter of Loaf and Death,nickpark,bakeri love murder mysteri petersallis sallylindsay melissacollier nickpark animation comedy family
2004-10-26,A Very Long Engagement,jean-pierrejeunet,pari prostitut lossoflov amnesia bodilydisabledperson worldwari wheelchair brittani lighthous verdun lighthousekeep teenagecrush disappear soldier illegalprostitut privatedetect missingperson polio trench audreytautou gaspardulliel dominiquepinon jean-pierrejeunet drama
2014-02-28,The Bag Man,davidgrovic,motel crimeboss johncusack rebeccadacosta robertdeniro davidgrovic crime drama thriller
2014-10-07,Mockingbird,bryanbertino, alyviaalynlind emilyalynlind audreymarieanderson bryanbertino horror
2013-01-01,Movie 43,griffindunne,slapstick ensemblecast duringcreditssting womandirector lax annafaris emmastone halleberry griffindunne comedy
1962-12-10,Lawrence of Arabia,davidlean,cairo arabian worldwari hors jerusalem britisharmi britishempir damascu camel war desert arab ottomanempir petero'toole alecguinness anthonyquinn davidlean adventure drama history war
2012-08-06,Bachelorette,leslyeheadland,bridesmaid stripclub femalefriendship reunion drugus wed weddingdress childhoodfriend womandirector bacheloretteparti bitch fatwoman kirstendunst islafisher lizzycaplan leslyeheadland comedy romance
1994-07-15,Angels in the Outfield,williamdear,basebal dannyglover brendafricker josephgordon-levitt williamdear fantasy drama comedy family
1931-01-30,City Lights,charliechaplin,suicideattempt oper blindnessandimpairedvis loveofone'slif eyeoper flowershop flowergirl tramp love millionair blindgirl littletramp charliechaplin virginiacherrill florencelee charliechaplin comedy drama romance
2000-12-15,"Dude, Where’s My Car?",dannyleiner,dude amnesia idiot auto friendship cannabi hangov spoof teenag drug alcoholabus celebr car duringcreditssting child ashtonkutcher seannwilliamscott kristyswanson dannyleiner comedy
1988-07-16,Akira,katsuhiroōtomo,savingtheworld totaldestruct megac streetgang underground gener stadium experi atomicbomb mutat dystopia armi cyberpunk motorcyclegang anim mitsuoiwata nozomusasaki mamikoyama katsuhiroōtomo sciencefiction animation
1961-10-05,Breakfast at Tiffany's,blakeedwards,lossofbroth agediffer cat brokenengag fireescap loveofone'slif jewelri storewindow neighbor millionair celebr audreyhepburn georgepeppard patricianeal blakeedwards comedy drama romance
1996-05-09,Ridicule,patriceleconte,painter sex flower bedroom court rabbit epidem  drainageproject  powder 18thcenturi charlesberling jeanrochefort fannyardant patriceleconte comedy drama romance
1971-12-20,Harold and Maude,halashby,suicid lifeanddeath depress agediffer cemeteri suicideattempt birthday banjo cliff lifeplan deadwish arrangedmarriag dyinganddeath wealth midnightmovi ruthgordon budcort cyrilcusack halashby comedy drama romance
1986-12-17,Allan Quatermain and the Lost City of Gold,garynelson,brotherbrotherrelationship africa riddl gold treasur treasurehunt goldmin archaeologist missingperson archeology  allanquatermain richardchamberlain sharonstone jamesearljones garynelson action adventure comedy
1999-09-24,Double Jeopardy,bruceberesford,prison sailboat sailingtrip neworlean women'sprison probat murderhunt tommyleejones ashleyjudd brucegreenwood bruceberesford crime drama mystery thriller
1988-08-05,The Blob,chuckrussell,kill cinema slime disgust comet cold quarantin playboy remak alien hospit sewer freezer militari liquefact badboy kevindillon shawneesmith donovanleitch chuckrussell horror sciencefiction
1995-08-18,Mortal Kombat,paulw.s.anderson,martialart monster island gore sorcer tournament violenc basedonvideogam handtohandcombat christopherlambert robinshou lindenashby paulw.s.anderson action fantasy
2001-07-04,Scary Movie 2,keenenivorywayans,sex exorc secretdoor annafaris marlonwayans jamesdebello keenenivorywayans comedy
1956-10-10,Giant,georgestevens,hotel jealousi judg texa winecellar restaur ranch senat funer sexism petrol fromragstorich beef tycoon maryland barbecu birthdayparti turkey poni ridingclass hunt elizabethtaylor rockhudson jamesdean georgestevens action drama western
2010-04-15,Death at a Funeral,neillabute,remak familyrelationship zoesaldana jamesmarsden martinlawrence neillabute comedy
2012-02-03,Berserk: The Golden Age Arc 1 - The Egg of the King,toshiyukikubooka,mercenari sorceri swordfight gore blood basedonmanga demon anim hiroakiiwanaga takahirosakurai yuukikaji toshiyukikubooka action adventure animation fantasy horror
2009-12-18,Bodyguards and Assassins,teddychan,assassin martialart sword bloodsplatt impal beatentodeath hongkong headbashedin extremeviol violentdeath hook bloodyfight throatslit violenc donnieyen wangxue-qi tonyleungka-fai teddychan drama action history
2006-08-17,Brother Bear 2,bengluck,grizzlybear humananimalrelationship forest hibern moos patrickdempsey mandymoore jeremysuarez bengluck adventure animation family
2004-12-01,Closer,mikenichols,fathersonrelationship loveatfirstsight photograph lossoflov cheat lie forbiddenlov tea lover kiss photographi secretlov timessquar liar sexchat basedonplayormus deathoffath fallinginlov juliaroberts judelaw natalieportman mikenichols drama romance
2013-10-13,Mindscape,jorgedorado,teenag markstrong taissafarmiga briancox jorgedorado thriller drama
1994-06-09,Speed,jandebont,bomb airport bu busrid highway bombplant keanureeves dennishopper sandrabullock jandebont action adventure crime
2013-12-24,Lone Survivor,peterberg,war surviv navys militari dangerousmiss markwahlberg taylorkitsch emilehirsch peterberg action drama thriller war
2012-03-10,Extracted,nirpaniry,murder timeloop memori sasharoiz jennymollen dominicbogart nirpaniry sciencefiction thriller
2001-08-17,American Outlaws,lesmayfield,sheriff hors outlaw jessejam coleyoung colinfarrell scottcaan alilarter lesmayfield action western
1992-03-13,Howards End,jamesivory,basedonnovel sistersisterrelationship empower sister turnofthecenturi edwardianengland vanessaredgrave helenabonhamcarter emmathompson jamesivory drama romance
1986-03-14,Crossroads,walterhill,harmonica blue guitarduel ralphmacchio joeseneca jamigertz walterhill drama music mystery romance
1992-07-01,A League of Their Own,pennymarshall,basebal worldwarii sport baseballplay femaleathlet homefront womandirector 1940 tomhanks geenadavis madonna pennymarshall comedy
2011-09-11,Your Sister's Sister,lynnshelton,sistersisterrelationship secret romanc cottag relationship mumblecor womandirector markduplass emilyblunt rosemariedewitt lynnshelton drama comedy
2013-10-11,The Fifth Estate,billcondon,journalist biographi internet informationleak activist benedictcumberbatch danielbrühl anthonymackie billcondon drama thriller
